msg_id,text
twitter/1806898907219378187,@catturd2 DONALD TRUMP will go down in history as the man that saved AMERICA!
twitter/1818250740982276507,@DaBingJingDuo 美国人活的有尊严，底层社会福利也高，不像中国人底层人活得没尊严，只能靠金牌数量宏大叙事增加满足感，美国人居然也在意有没有金牌？
twitter/1818936408360534063,American swimming team please reflect on yourself! Is the athlete's face normal? I wasn't purple before. Why are you red and purple now? #Paris2024 #Swimming $URL[0]
twitter/1819201346022920374,现在奥运会也是颜值担当聚集地了 $URL[0]
twitter/1819539858580558028,@fengzhizifree @LM62710 互
twitter/1820872306924908969,"As a Bangladeshi journalist, I was moved by how reporters back home took control to tell their stories their way. They brilliantly covered the biggest story since Bangladesh came into being. As an early Twitter adopter, it was satisfying to witness this rare phenomenon unfold."
twitter/1822212340357451960,"@babsforlife @realDonaldTrump He still cannot believe Joe stepped down.  I love his confusion and frustration with that, it is preventing his campaign from forming  a plan to deal with it."
twitter/1823376041588478310,"You are thinking about this backwards. It's terrifying to the more rounded educated who ALSO learned about religion that the Europeans who designed the Olympics ceremonies did not understand how that imagery would hit the religions. They are so removed from Christian, Jewish and the other attached religions that they either completely missed how hard it would smack OR they did it on purpose as an insult. I think it was a combination of the 2. I was not raised up in the church. I learned about Christianity and its symbolism in college and how linked it was to other Greek and Roman myths, but that was a very superficial stance I was taught in college. A 'survey' so to speak. Once I started studying the Bible in much more depth and the history connected  and conveyed through the Bible I realized my college lessons were off. I suspect the Olympics organizers were not only taught incorrectly about Christians, they were taught to disdain and mock them."
twitter/1825516714815373387,@bloodyss1985 回关哦
twitter/1831604465134186739,Hello world  I am alive  Last night was so scary  I was barely breathing  Please we need you all to raise our voice to the world  Our lives are in danger ⚠️  Please don't forget to pray for me and my family $URL[0]
twitter/1840401884693053880,@myhiddenvalue For Pete’s Sake—what are the odds?  The two people that received funding from NIH for coronavirus gain-of-function research at the Wuhan Institute of Virology:   1) Peter Hotez: NIH grant AI098775 2) Peter Daszak: NIH grant AI110864  They KNEW Ivermectin WORKED!
twitter/1841427129508192291,immich 用起来还不错，基本可以平替Google Photos， #批量导入直接跑满算力 $URL[0]
twitter/1843458376879239174,"Thanx again, @DixieReLoadz. Best wishes....."
twitter/1843559691399639350,@Amperdian @GuntherEagleman @hodgetwins I suppose there must have been few cars at 4AM.
twitter/1844089129824616566,以前有段时间很想润，对外面的世界抱有很多幻想，仿佛出去了一切就海阔天空了  后面经常去香港爬山，去澳门逛街，去日本旅游，也经常在推特了解海外华人的生活，也花了很多时间刷一亩三分地  逐渐觉得国外也没有想象中那么美好，税后工资能比腾讯高的几乎只有美国了，但身份问题很麻烦，meta亚麻该卷还是卷，“三哥味”和“阿里味”也有的一拼，还有各种不适应的文化和高昂的物价和成本，但美国顶尖的科研依旧让人向往，很希望有机会能去读个博。欧洲的职场相对更peace，非常的共产主义，但整体走下坡路，在国内习惯了没有安全感，遇到这种环境会容易感到不安。日本的生活很舒服，文化地理都更接近，与西方关系也比较好，但职场氛围对于it类工作会有些“过于严格”了，工资不高但物价不低，容易有深圳赚钱香港花的感觉  国内生活也没那么糟糕，至少治安、美食、家人朋友和熟悉的文化都挺舒适的，本身对政治不感兴趣，言论审查也不影响吃火锅。但就是别摊上什么破事，一旦遇到点麻烦事，作为普通人会感到很无助  之前看到过一句话，不会游泳的话换个池塘还是一样的，与其换个环境，或许专注把眼下的事情做好才是最重要的。希望有生之年能去每个地方都体验一下生活😆
twitter/1844412389980242139,@Wujinsh @dudiaohan1 这你可能不知道，文革初期毛首先发动了一场重要的运动叫做“砸烂公检法”，满街都是砸烂工、检，法的大标语。公安局，检查院、法院人员被驱散，办公室无人看守，到处是办公桌，家具，碎纸片，一遍萧条景象。法治系统不瘫痪，如何捕捉刘少奇？这就是毛泽东的“阳谋”。
twitter/1846939643557581103,"@EliAfriatISR @NoelLakshman Greetings, Tom $URL[0]"
twitter/1848252268534984933,"@HAPPY889123 They poisoned the Chinese with opium, destroying and enslaving the people, for the purpose of robbery. Now they have the best museums in the world. They took 40 trillion out of India during the West Austin company. We remember and know everything"
twitter/1849782892341420254,Happy & Productive Weekend Vote & Bring a Friend! 🙏💕🗳️😻🌊 @MargieDemocracy @DonnaMa45283306 @DittiePE @justinpowellweb   @KatarinaKriz @PHINARESISTS @OligarchAverse @bruce_steiner   @markdinero1 @JTraversDevine @DocMurphydog @77SunnyAndClear   @TabyTails72 @BudGothmog44 @Orangeblobaloo @CamiLee13   @BAAMeansNo @Real_Chatty_Cat @Dollhouse @A_Buff_Chicken
twitter/1850608959251702061,"@Fritz8822 Early voting for me!  My vote, my choice and my conscience. $URL[0]"
twitter/1852925338688614561,一个女人点七八个鸭子？这三观不要也罢。 $URL[0]
twitter/1860091238713819148,@badiucao Maybe Australians can just have look into the US state dept &amp; US military industrial corp-backed US “freedom &amp; democracy” “human rights- spreading NGO’s that you’ve worked with that also coincidentally want regime change in countries targeted by Wall Street hedge funds.
twitter/1860606931548938422,@GoodSgoy67 有钱赚，加班也无所谓。
twitter/1860609613458219021,@MinnengL57355 😆😆
twitter/1860857539883118732,Take note @SenateGOP - we are watching. All of you. We know when all of you are up for re-election and we WILL vote you out. We know where we went wrong before. We are paying attention now. @ScottPresler @SenJohnThune @LeaderMcConnell @JohnCornyn @LindseyGrahamSC @TomCottonAR
twitter/1861102896261013813,"Honest question I've never been able to get answered.  Why do the Democrats want to protect illegal immigrant murderers, rapists, drug dealers, child predators, etc. from being deported?  Does anyone know the answer to this?"
twitter/1866165090443038903,"Thanks for the recommendation, @lsolum!  The piece was just published in @TexasLRev. $URL[0]"
twitter/1872235127893622931,@whyyoutouzhele 《民主》
twitter/1873837188166684688,"Some of us have been warning of this Doomsday scenario for the better part of a year while our loyalty to the party was questioned.   We were told it would never get this bad and that replacing the leader made 'no sense' -- that a replacement would do no better, if not worse.   Hard to imagine how a new Liberal leader could do any worse than 16%! #cdnpoli #LPCRenewalNow"
twitter/1875222367297007883,Chuck Schumer unveils Democrat Committee Rosters to counter Trump!  What do you all think? $URL[0]
twitter/1875927295980171697,@optmistnotsomch @elonmusk Have you heard of Dubai? Check the ethnic make up of Dubai.
twitter/1878537644222591254,Shoutout to @jowyang for delivering an incredible keynote on how creators should be leveraging AI.   Inspiring insights all around on the future of creators and technology! $URL[0]
twitter/1882508357833212178,Van East constituents say Canada should impose a 100% tariff on all things Tesla -a move that I fully support.   Canadians’ stand united - Never back down from bullies.   #cdnpoli
twitter/1884969090227515610,@GW49221300 @whyyoutouzhele 美国克林顿，比尔盖茨为首的白左深层政府通共，勾结中共做空美股，破坏美帝大局稳定，加上这次华盛顿撞机事件，就是给川右一点颜色看看避免白左深层政府被清算，下一步就是深层政府就是出卖美军情报鼓动习近平武统台湾
twitter/1887246764668789136,@60Minutes Y'all need to stay strong and protect Americans 1st Amendment rights to a free press.
twitter/1890585142634189129,@Liberty_Xtreme $URL[0]
twitter/1893800046564462916,"@CherylAschenbr2 @harryjsisson It would not surprise me at all if we end up finding out that these 'shills' &amp; I'm pretty sure everyone knows who I'm talking about, were paid thru these ridiculous programs."
twitter/1894180496420008164,"You want to pick and choose but I won’t let you.   (1)  Ukraine and Zelensky did not fulfil the Minsk Agreements.  Whenever the simulation began, it was literally bombarded to avoid honoring the agreement.   (2) President Trump has received massive instructions from the People of the USA to build peace for the best interests of the country and the world.  President Trump is an educated and polished politician, so he received you but he will decide and no one can or will coerce him. No. One.  It’s #AmericaFirst  And the ripples of his decision will bless the rest."
twitter/1897341819354321197,@AnthonyG0528 Zero
twitter/1897398064375361775,@MarkPocan @BernieSanders I should try to  make that. Weather permitting.
twitter/1897655978037825782,🥳💥🇨🇦 Canadian drama! Some Albertans are eyeing joining the US as the 51st state. 🤔 Trump's administration gets a visit from these Alberta reps. Stay tuned for updates on the potential Alberta independence or statehood talks. 🌎🇺🇸 💥Alberta $URL[0]
twitter/1897728925507178980,@FlagBlack007 If your Black message doesn’t scare white people its probably not an effective message.
twitter/1899703472410313211,THE WHOLE WORLD BELONGS TO BLACK PEOPLES  &amp;  And why you don’t want US  Negroes to delineate from  White People⁉️ THOUGHTS 💭 ⁉️ $URL[0]
twitter/1899794485963321548,@decaturlegends @LauraLoomer People need to know that there are good and not good Jews who do not give a damn about the country where they live.  Laura is free to choose what to say.   I won’t complain because I know it.
twitter/1905791235819778429,"Japan is talking about closing all American bases in that country, and form a stronger alliance with Australia, new Zealand and Europe"
twitter/1919427524981096906,"Hello all!  Wow — lots of you read my recent post 'Every marketing channel sucks right now.' It’s now one of the top 5 most widely-read essays. Thank you for that, and wanted to refer to a few other essays** I’ve written previously on related topics.  Couple other updates:  - a16z speedrun deadline this Saturday. As mentioned prev, I’m organizing 12-week program here at a16z focused on very early startups, where we invest up to a million! I’ll personally spend time 1:1/small groups with you. Applications are due this Saturday (May 10), so consider this your deadline and final reminder! Apply here — really only takes 5 minutes: $URL[0] More details here.  Also, I would love to see y’all in NYC when I’m there next month. I plan to be in town during June 2-6 for New York Tech Week, organized by the a16z team. There’s a bunch of panels/fireside chats where I’ll be speaking, including the Official a16z Kickoff Event, “AI Meets Culture: What’s Next?” hosted by Fenwick, Titans of New Media co-hosted with Substack, bunch of a16z speedrun events, etc. Check the calendar for more. (And friends/ex-colleagues, please DM me! Would love to say hello)  - I joined a16z 7 years ago, in May. Holy shit what a ride. Obviously it seems like so much has changed, and there’s been multiple distinct phases. A 2018-2020 set of boom years, pre-covid, where we were all investing in the post-Uber consumer age. Then lockdowns where I worked from an RV and lots of product categories thrived — particularly gaming. And I shipped my book. Then the past few years when I’ve been focused on tech, entertainment, gaming, AI, etc. A very fun, unpredictable, enjoyable journey so far — for which I’m grateful.  - Kicking off an LA speaker series program. I’m still living in LA! Even though the AI center of gravity remains SF, so I end up visiting every month. But as a side project, I’m now working with a bunch of folks in the LA ecosystem to put together a weekly program to hear from executives/founders from the top SoCal companies. Am hoping to get the big players like SpaceX/Tesla/Snap/Riot/etc, lots of startups, and VCs too. The idea will be that we can lend our Santa Monica offices to host events but will let outside teams host cool get-togethers. So watch this space! And reach out if interested to partner.  - Happy birthday to my wife! This weekend was her birthday and we went out for a wonderful (casual) meal. Pretty chill. I’m not sure she will read this far down this email, but if you do, you’re great and love ya.  Thanks to all of you for reading, and more to come soon!  Andrew written from a hotel room on a 24 hour visit to SF :)"
twitter/1927683773564395576,"WMO: 80% chance of global heat record by 2030.    For the first time in the annual five-year update, there is also a possibility of 2C. The chance is just 1% but 10 years ago, the chance of 1.5C was only 1% That is now our reality.   Story by me.   $URL[0]"
twitter/1929646851130585592,@tholson90 u're the best 😊  @MAGA_X_Times @JFlow53 @KiDuk22 @PecanC8 @KelliBretzke @JEAN4MAGA @tjonhowlett1967 @827js @ClayDeux @ElmasNaz13818 @LindaNTx @GodbeyToby @GilbertWanda @WenMaMa2 @shah_mohsi59350 @david_gaisbauer @RayBurtonSAS @HeavenBound1556 @Michelle__Skye @DianeElQueen @Rosielee2Grecia @bmocths @RevBillR @catfan62 @TFRM @45johnmac @steppat_fr91865 @Bagel69er @mortizherrera @Merica197138 @kneis816 @autumnbueno @pria_tammyy @Hamletgarcia17 @CoinSherif @oiebu @The_FJC @HeavenBound1556 @ABITA54906711 @Amy95474055 @Gentleman2741 @DreamyTechGirl @ralf_rat @HotHooves71 @robmcguire4372 @NM1k_ @WTFoxtrot10 @TheAnuragRao
twitter/657414407719399425,#ChinaStateVisit in Manchester-UK/China partnerships to unlock Northern Powerhouse potential $URL[0] $URL[1]
twitter/898120607925239808,共匪的媒体造假合辑: 共狗扶老人过马路造假 共狗抢救生命造假 共狗助人为乐造假 共狗值勤造假 共狗站岗造假 捐款造假 救助灾民的食宿造假 共狗连工作的汗水也是假的 …… $URL[0]
